framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,4,1,16,1,128,1,bfloat16,bfloat16,1,0.014028799533843995
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,8,8,128,1,bfloat16,bfloat16,1023,0.027187201380729675
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1024,1,64,2,128,1,bfloat16,bfloat16,15,0.10577919483184814
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,16,1,8,1,128,1,bfloat16,bfloat16,255,0.02181120067834854
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,8,8,128,1,bfloat16,bfloat16,8191,1.0156543731689454
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,4,1,2,2,128,1,bfloat16,bfloat16,16383,0.0824832022190094
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,256,1,96,1,128,1,bfloat16,bfloat16,63,0.030771198868751525
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,96,8,128,1,bfloat16,bfloat16,31,0.014079999923706055
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,2,2,128,1,bfloat16,bfloat16,127,0.022118400037288665
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,4,4,128,1,bfloat16,bfloat16,3,0.017100800573825837
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,8,2,128,1,bfloat16,bfloat16,7,0.013926400244235993
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,8,1,64,8,128,1,bfloat16,bfloat16,1,0.0144896000623703
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,2,1,128,1,bfloat16,bfloat16,1,0.014899200201034546
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,128,8,128,1,bfloat16,bfloat16,31,0.014131200313568116
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,128,1,16,8,128,1,bfloat16,bfloat16,8191,3.4670078277587892
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,8,128,1,bfloat16,bfloat16,7,0.03251200020313263
