framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,81,3584,8192,0.05631999837027656
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,96,512,4096,0.01200355589389801
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3841,768,3584,0.09275822507010566
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3328,16384,3584,1.5698728561401367
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2304,10240,8192,1.4254915449354384
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,14,65536,7168,0.6206675635443794
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,7,768,1536,0.00758755538198683
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2049,4096,7168,0.5335653093126085
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,8192,16384,64,0.26045865482754177
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,49,8192,64,0.0047768888374169665
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4,2048,256,0.004239999999602635
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,768,6144,32,0.012777778009573618
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3585,4096,12288,1.5427751541137695
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,112,16384,1536,0.05520977907710605
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1024,256,65536,0.15077688958909777
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,15,12288,128,0.004751111070315043
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1793,256,512,0.007744000189834171
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,11,65536,512,0.05031555559900072
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2560,12288,12288,2.9937867058648
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,13,6144,3072,0.02977777851952447
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1025,64,64,0.003141333245568805
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2049,65536,768,0.9397243923611112
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,8192,4096,3584,0.896733283996582
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,96,2048,3584,0.019302222463819716
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3328,1024,1536,0.0449848903550042
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2,8192,3072,0.03697333402103848
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4352,8192,4096,1.1984933217366536
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,97,1536,32,0.0032586666444937387
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,97,12288,10240,0.17539821730719674
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,160,12288,32,0.007536888950400882
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3584,64,7168,0.038853334056006536
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,80,12288,3584,0.07553422451019287
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,64,3584,6144,0.033927109506395124
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1025,16384,1024,0.17848532729678682
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4353,8192,512,0.17022044128841826
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,10,16384,4096,0.09998044702741836
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,15,16384,3072,0.07983377907011244
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2816,3072,128,0.028166221247778997
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,33,10240,2560,0.03674133287535773
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1280,512,5120,0.045082665152019925
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,32,3584,32,0.0033333332588275275
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1793,128,10240,0.041013333532545306
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2,512,2048,0.006981333096822103
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,769,3584,1024,0.0310515562693278
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,65,51200,64,0.017231111725171406
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4,51200,7168,0.4418346616956923
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,256,32,3584,0.00756533361143536
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,16,4096,10240,0.06111022498872545
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,33,5120,12288,0.0864222248395284
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,129,512,768,0.0069644442862934535
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,97,1024,7168,0.021370665894614324
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3328,12288,512,0.1883457766638862
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4353,10240,256,0.1370497809516059
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,1025,768,32,0.004751111070315043
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4,3584,768,0.012402666939629449
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,224,4096,12288,0.11986933814154731
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,7,512,3584,0.007532444265153673
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,4097,256,6144,0.07143644491831462
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,3585,65536,512,1.2236853705512154
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,gemm,sglang,bfloat16,2048,6144,128,0.03954222136073642
