framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1,0.15353280305862427
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,3,0.1536512017250061
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,7,0.15426720380783082
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,15,0.1581104040145874
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,31,0.16408480405807496
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,63,0.17401280403137206
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,127,0.2493743896484375
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,255,0.4181344032287598
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,511,1.047439956665039
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1023,1.9119632720947266
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,2047,3.446158218383789
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,1,0.017166399955749513
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,3,0.016527999937534333
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,7,0.016564799845218657
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,15,0.016388800740242005
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,31,0.016444799304008485
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,63,0.01634880006313324
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,127,0.018934400379657747
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,255,0.023809599876403808
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,511,0.048441600799560544
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,1023,0.07389919757843018
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,2047,0.1142240047454834
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,1,0.01823199987411499
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,3,0.018140800297260284
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,7,0.018228800594806673
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,15,0.018192000687122345
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,31,0.01831520050764084
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,63,0.018592000007629395
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,127,0.02266560047864914
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,255,0.030798399448394777
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,511,0.0722495973110199
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,1023,0.11707040071487426
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,2047,0.19640480279922484
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,3,0.08417119979858398
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,7,0.0844976007938385
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,63,0.09759039878845215
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,127,0.13516160249710082
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,1023,0.9554335594177246
