framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,128,0.012099199742078782
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,64,0.007952000200748443
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,32,0.00660799965262413
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,16,0.006681600213050842
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,8,0.006681600213050842
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,4,0.006678400188684463
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,2,0.006719999760389328
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,1,1,0.006764800101518631
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,128,0.014268800616264343
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,64,0.010547199845314026
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,32,0.0069023996591567995
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,16,0.006665600091218948
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,8,0.006700800359249115
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,4,0.006723199784755707
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,2,0.0066880002617835995
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,2,1,0.007599999755620956
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,128,0.01438080072402954
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,64,0.010585600137710571
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,32,0.007011199742555619
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,16,0.006809599697589874
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,8,0.0066592000424861904
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,4,0.006649599969387054
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,2,0.006627199798822403
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,4,1,0.006697600334882736
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,128,0.014470399916172027
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,64,0.010566399991512298
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,32,0.007100799679756164
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,16,0.006572800129652024
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,8,0.006697600334882736
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,4,0.0066592000424861904
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,2,0.006684800237417221
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,8,1,0.006742399930953979
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,128,0.014867199957370758
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,64,0.010652799904346467
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,32,0.007184000313282013
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,16,0.0066880002617835995
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,8,0.006681600213050842
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,4,0.00676800012588501
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,2,0.0067552000284194945
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,16,1,0.0067552000284194945
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,128,0.015958400070667268
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,64,0.010867200046777725
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,32,0.0075392000377178196
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,16,0.006691200286149978
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,8,0.006678400188684463
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,4,0.006742399930953979
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,2,0.006652799993753433
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,32,1,0.006668800115585327
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,128,0.01600320041179657
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,64,0.011088000237941742
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,32,0.010172799974679948
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,16,0.007420799881219864
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,8,0.006716799736022949
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,4,0.006623999774456024
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,2,0.006716799736022949
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,bfloat16,48,1,0.006662400066852569
