framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,48,7168,2048,8,384,4,4,power_law_1.2,0.6918144226074219
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,96,4096,2688,22,512,16,2,power_law_1.2,1.0267033386230469
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,192,4096,1024,10,512,2,8,power_law_1.01,0.6481510162353515
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,16,7168,2048,8,256,2,1,balanced,3.2457522583007816
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,160,3072,1536,8,256,8,16,power_law_1.2,0.10567680358886719
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,96,6144,2560,8,160,1,8,balanced,2.2607872009277346
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,12288,4096,2688,22,512,4,64,power_law_1.2,37.7664306640625
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,8,4096,14336,2,8,8,4,power_law_1.2,0.1322598361968994
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,768,6144,2560,8,160,8,4,balanced,0.8784281921386718
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,64,6144,2560,8,160,2,16,balanced,0.4960665512084961
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,1024,6144,2560,8,160,4,32,power_law_1.01,0.8062566375732422
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,4096,6144,2048,8,256,16,8,power_law_1.01,1.4911897277832031
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,384,4096,14336,2,8,2,8,power_law_1.2,0.6372966384887695
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,80,6144,2048,8,256,8,2,power_law_1.2,0.25006080627441407
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,2048,4096,1536,8,128,2,16,balanced,1.0762239837646486
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,1024,7168,2048,8,256,4,8,power_law_1.01,1.3058457946777344
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,48,4096,1536,8,128,1,4,balanced,0.3189555168151855
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,16,4096,14336,2,8,8,8,power_law_1.01,0.06131711959838867
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,1536,6144,16384,2,8,4,2,balanced,2.85011962890625
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,256,3072,1536,8,256,2,128,balanced,0.08093695640563965
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,384,6144,2048,8,256,2,8,balanced,1.1590860748291016
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_marlin_moe,int4_wo,2048,7168,2048,8,384,2,64,power_law_1.2,2.328657989501953
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,1,7168,2048,8,384,4,8,balanced,0.05726208209991455
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,8,2048,768,8,128,4,8,power_law_1.2,0.03960832118988037
SGLang,0.5.10,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,bfloat16,32,7168,2048,8,384,2,4,balanced,1.7490328979492187
