framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,2048,4096,16384,0.11035644345813328
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,1025,65536,768,0.07252711057662964
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,4096,128,2560,0.015803555647532146
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,10,10240,10240,0.028373334142896865
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,112,6144,10240,0.023687111006842718
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,112,1024,51200,0.025033776958783466
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1024,7168,8192,0.06431821982065837
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,97,6144,2560,0.01850044396188524
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,32768,2048,512,0.0701120032204522
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,6,4096,512,0.004950222041871813
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,3073,3584,1536,0.03517244590653314
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,4096,16384,10240,0.47716532813178164
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,14,512,512,0.010407999985747868
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,513,51200,512,0.03493600090344747
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,15,4096,2048,0.005281777845488654
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1536,3584,4096,0.037647998995251127
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,1025,5120,1536,0.015879111157523263
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1793,4096,3584,0.04670400089687771
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,17,4096,2560,0.02237155536810557
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,2816,7168,32,0.016872889465755887
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,2304,128,3072,0.015392000476519266
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,225,3072,7168,0.02716355522473653
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,3,1536,16384,0.020190222395790946
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,97,8192,16384,0.02806666824552748
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,6,12288,1536,0.006305777778228124
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,32,10240,32,0.0022355556074115965
