framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1,1,1,1,128,1,bfloat16,bfloat16,255,0.008393599838018417
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,8,1,32,8,128,1,bfloat16,bfloat16,8191,0.04639680087566376
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,1,128,1,bfloat16,bfloat16,1,0.014529600739479065
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,32,1,48,48,128,1,bfloat16,bfloat16,1,0.022787199914455415
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,128,1,16,8,128,1,bfloat16,bfloat16,1,0.016601599752902985
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,4,1,128,4,128,1,bfloat16,bfloat16,7,0.010452800244092942
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,512,1,8,4,128,1,bfloat16,fp8,3,0.021031999588012697
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,128,1,32,32,128,1,bfloat16,bfloat16,7,0.04325760006904602
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,4,4,128,1,bfloat16,fp8,3,0.037057599425315856
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,16,2,128,1,bfloat16,fp8,3,0.008352000266313553
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,32,1,128,1,bfloat16,bfloat16,127,0.010436800122261048
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,32,8,128,1,bfloat16,bfloat16,3,0.012452799826860428
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,32,2,128,1,bfloat16,fp8,3,0.024932800233364104
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,4,1,32,4,128,1,bfloat16,bfloat16,4095,0.012430399656295776
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,8,8,128,1,bfloat16,fp8,255,0.09471200108528137
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,64,2,128,1,bfloat16,fp8,15,0.015724800527095795
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,8,1,16,2,128,1,bfloat16,bfloat16,4095,0.012464000284671784
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,16,2,128,1,bfloat16,bfloat16,127,0.01244800016283989
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,16,1,2,2,128,1,bfloat16,fp8,15,0.008337599784135818
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,4,1,128,2,128,1,bfloat16,bfloat16,511,0.01242400035262108
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,2,2,128,1,bfloat16,fp8,7,0.010409600287675857
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,32,32,128,1,bfloat16,bfloat16,15,0.2970992088317871
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,16,1,128,1,bfloat16,bfloat16,2047,0.012435200065374375
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,128,1,32,8,128,1,bfloat16,fp8,1,0.01451520025730133
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,8,1,8,4,128,1,bfloat16,fp8,4095,0.010377600044012069
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,16,16,128,1,bfloat16,fp8,127,0.03918080031871796
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,8,1,32,32,128,1,bfloat16,fp8,4095,0.04752320051193237
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,2,1,128,1,bfloat16,bfloat16,1,0.01653439998626709
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,32,2,128,1,bfloat16,fp8,1023,0.030276799201965333
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,32,1,8,2,128,1,bfloat16,fp8,8191,0.02839680016040802
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,256,1,32,1,128,1,bfloat16,fp8,1,0.010555200278759003
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,2,1,16,1,128,1,bfloat16,fp8,1,0.008404800295829773
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,8,1,2,1,128,1,bfloat16,fp8,32767,0.017028799653053282
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1024,1,64,2,128,1,bfloat16,fp8,3,0.04320000112056732
