framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,1,128,1,bfloat16,fp8,0,27.14595947265625
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,1,128,1,fp8,fp8,0,27.291439819335938
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,4,128,1,bfloat16,fp8,0,26.6774658203125
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,2,128,1,bfloat16,fp8,0,27.012152099609374
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,2,128,1,fp8,fp8,0,27.248785400390624
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,4,128,1,fp8,fp8,0,27.523919677734376
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,8,128,1,bfloat16,fp8,0,26.784140014648436
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,8,128,1,fp8,fp8,0,27.202423095703125
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,96,128,1,bfloat16,fp8,0,14.168040466308593
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,96,128,1,fp8,fp8,0,14.161430358886719
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,1,128,1,bfloat16,fp8,0,13.773020935058593
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,1,128,1,fp8,fp8,0,13.359028625488282
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,2,128,1,bfloat16,fp8,0,13.410684204101562
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,2,128,1,fp8,fp8,0,13.460798645019532
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,1,128,1,bfloat16,bfloat16,0,20.98815155029297
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,4,128,1,bfloat16,bfloat16,0,20.550094604492188
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,4,128,1,bfloat16,fp8,0,13.360060119628907
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,2,128,1,bfloat16,bfloat16,0,20.97185821533203
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,1,128,1,bfloat16,bfloat16,0,42.95328369140625
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,4,128,1,fp8,fp8,0,13.256451416015626
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,8,128,1,bfloat16,fp8,0,13.58050079345703
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,2,128,1,bfloat16,bfloat16,0,41.20069885253906
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,8,16384,96,4,128,1,bfloat16,bfloat16,0,42.3638916015625
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,96,128,1,bfloat16,fp8,0,7.167508697509765
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,8,128,1,fp8,fp8,0,13.53809814453125
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,1,128,1,bfloat16,bfloat16,0,10.474301147460938
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,1,128,1,bfloat16,fp8,0,6.716976165771484
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,1,128,1,fp8,fp8,0,6.915798187255859
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,96,128,1,fp8,fp8,0,6.971675109863281
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,2,128,1,bfloat16,fp8,0,6.728620910644532
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,2,128,1,bfloat16,bfloat16,0,10.624420928955079
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,2,128,1,fp8,fp8,0,6.813731384277344
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,4,128,1,bfloat16,fp8,0,6.811876678466797
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,4,16384,96,8,128,1,bfloat16,bfloat16,0,21.110931396484375
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,4,128,1,bfloat16,bfloat16,0,10.355159759521484
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,8,128,1,bfloat16,fp8,0,6.896694183349609
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,8,128,1,fp8,fp8,0,6.747646331787109
SGLang,0.5.10,NVIDIA B300 SXM6 AC,context_attention,trtllm_mha,2,16384,96,8,128,1,bfloat16,bfloat16,0,10.564524841308593
