framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,1,1,0,0.7417
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,4,1,0,0.8257
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,8,1,0,0.7132
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,16,1,0,0.7687
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,32,1,0,0.8980
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,64,1,0,1.4799
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,128,1,0,1.2473
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,256,1,0,1.2981
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,0,0.7826
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,512,1,0,0.7157
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,1024,1,0,0.7817
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,2048,1,0,0.9702
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4,1,0,0.8100
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8,1,0,0.7793
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16,1,0,0.7760
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,32,1,0,0.7806
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,64,1,0,0.7735
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,128,1,0,0.7896
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,256,1,0,0.7342
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,512,1,0,0.7332
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1024,1,0,0.7466
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,2048,1,0,0.8664
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,0,0.9859
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4,1,0,0.9874
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8,1,0,0.9712
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16,1,0,0.9744
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,32,1,0,0.9669
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,64,1,0,0.9649
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,128,1,0,0.9556
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,256,1,0,0.6341
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,512,1,0,0.7718
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1024,1,0,1.0999
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,2048,1,0,2.0791
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,4096,1,0,10.9499
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,8192,1,0,6.6166
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4096,1,0,4.9438
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8192,1,0,14.3329
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4096,1,0,9.6811
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8192,1,0,8.2536
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,16384,1,0,18.0789
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16384,1,0,20.2351
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,2,1,1,0,0.7392
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,1,1,0,0.7576
SGLang,0.5.10,NVIDIA B300 SXM6 AC,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,4,1,0,0.6310
