framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,1,0.045332801342010495
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,3,0.04527359902858734
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,1,0.03566080033779144
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,3,0.03511680066585541
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,31,0.03516640067100525
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,31,0.04740320146083832
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,63,0.047260800004005434
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,127,0.03792479932308197
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,255,0.08667839765548706
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,255,0.0488319993019104
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,511,0.1608896017074585
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,511,0.08587200045585633
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,1023,0.30958878993988037
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,1023,0.16271840333938598
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,2047,0.604472017288208
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,2047,0.3178287982940674
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,7,0.045335999131202696
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,15,0.04529759883880615
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,1,0.01043360009789467
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,3,0.010518400371074677
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,1,0.008403199911117553
SGLang,0.5.10,NVIDIA B300 SXM6 AC,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,7,0.01045600026845932
