framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,128,0.006630399823188781
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,64,0.005161599814891815
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,32,0.0045855998992919925
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,4,0.004294399917125702
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,16,0.004153599962592125
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,2,0.004556800052523613
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,8,0.004275200143456459
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,1,1,0.004467200115323066
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,16,0.006547199934720993
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,128,0.00727040022611618
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,128,0.010691200196743012
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,64,0.008697599917650223
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,4,0.006752000004053116
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,32,0.00432640016078949
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,32,0.007228799909353256
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,8,0.006703999638557434
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,2,0.006543999910354615
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,8,0.004358400031924248
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,1,1,0.006732799857854843
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,4,0.004527999833226204
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,2,128,0.010540799796581268
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,2,0.004083200171589851
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,2,32,0.007174400240182876
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,2,2,0.006444799900054932
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,2,1,0.003619199991226196
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,128,0.0065311998128890995
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,128,0.010630399733781815
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,64,0.004441599920392036
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,64,0.007372800260782242
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,32,0.004320000112056732
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,32,0.006678400188684463
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,16,0.003996799886226654
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,16,0.007327999919652939
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,8,0.004479999840259552
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,8,0.007548800110816956
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,4,0.004361600056290627
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,4,0.0068512000143527985
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,2,0.004243199899792671
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,2,0.006665600091218948
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,4,1,0.003987200185656547
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,4,1,0.006681600213050842
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,8,128,0.006524799764156342
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,8,128,0.010598400235176086
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,8,64,0.004416000097990036
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,8,64,0.008633600175380706
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,8,32,0.004633599892258644
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,8,32,0.006652799993753433
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,fp8,2,16,0.006742399930953979
SGLang,0.5.10,NVIDIA B300 SXM6 AC,mla_gen_pre,default,bfloat16,8,16,0.004383999854326248
