framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,2,6144,2048,8,256,16,1,power_law_1.01,0.044316158294677735
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,4,2048,768,8,128,1,2,power_law_1.2,0.04768383979797363
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,4,4096,2688,22,512,1,4,power_law_1.01,0.32401409149169924
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,320,4096,2688,22,512,2,4,power_law_1.2,1.1138304138183595
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,512,2688,1856,6,128,2,32,balanced,0.05883520126342774
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,fp8_block,1,7168,2048,8,256,8,2,balanced,0.046488318443298336
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,128,7168,2048,8,384,1,32,balanced,0.24171648025512696
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,fp8_block,16,7168,2048,8,256,8,8,power_law_1.01,0.07596928119659424
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,fp8_block,1,6144,2048,8,256,2,64,balanced,0.04378111839294434
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,192,2048,768,8,128,1,128,balanced,0.037867519855499264
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,bfloat16,1024,7168,2048,8,384,8,32,balanced,0.1621824073791504
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe,sglang_fused_moe_triton,fp8_block,2048,4096,1024,10,512,32,4,balanced,0.2584320068359375
