framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,uniform,0.31839542729513987
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,uniform,0.29293714676584515
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,1024,7168,2048,8,256,1,64,uniform,0.2908845714160374
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,4096,7168,2048,8,256,1,256,uniform,0.2951588588101523
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,uniform,0.2981028599398477
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,uniform,0.5355200001171657
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,2048,7168,2048,8,256,1,128,uniform,0.5413668496268136
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_0.6,0.6767707415989467
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_0.8,0.6607780575752258
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_0.6,0.9445156557219369
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_1.01,0.6272402337619236
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_0.8,0.8479798827852522
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_1.02,0.6321956600461688
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_1.01,0.7575360008648464
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,64,7168,2048,8,256,1,4,power_law_1.2,0.6298121077673776
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_1.02,0.7844415954181126
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,power_law_1.2,0.733586289201464
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,1024,7168,2048,8,256,1,64,power_law_0.6,0.28070125664983475
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,4096,7168,2048,8,256,1,256,power_law_0.6,0.49659062709127155
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_0.6,0.29567268575940814
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,2048,7168,2048,8,256,1,128,power_law_0.6,0.5204160009111677
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,uniform,0.298043429851532
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_context,deepepmoe,fp8_block,128,7168,2048,8,256,1,4,power_law_0.6,0.7017051407269069
