framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,uniform,0.1673535943031311
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,uniform,0.22357439994812012
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,uniform,0.3370879888534546
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,uniform,0.5644991874694825
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,uniform,1.0089728355407714
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,uniform,1.0100288391113281
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,uniform,1.011235237121582
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,uniform,1.0103551864624023
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.6,0.16632064819335937
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.8,0.166363525390625
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.01,0.1666387176513672
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.02,0.1666828727722168
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,4,uniform,0.13301440477371215
SGLang,0.5.10,NVIDIA B300 SXM6 AC,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.2,0.1670400047302246
