framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,128,16,48,4,128,1,bfloat16,fp8,0,0.12106239795684814
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,128,256,4,4,128,1,bfloat16,fp8,0,0.06773279905319214
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,64,1536,32,4,128,1,bfloat16,fp8,0,1.1530672073364259
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,1,96,8,128,1,bfloat16,fp8,0,0.01260959953069687
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,32,16,1,128,1,bfloat16,fp8,0,0.010422399640083313
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,1536,24,1,128,1,bfloat16,fp8,0,0.030963200330734252
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,1,64,1,128,1,fp8,fp8,0,0.018665599822998046
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,16,32,48,2,128,1,bfloat16,fp8,0,0.024846400320529937
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,64,32,64,4,128,1,bfloat16,bfloat16,0,0.09054560065269471
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,1536,8,4,128,1,bfloat16,bfloat16,0,0.03097119927406311
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,16,2048,8,4,128,1,bfloat16,bfloat16,0,0.17045120000839234
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,16,2048,48,8,128,1,fp8,fp8,0,0.7339119911193848
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,16,256,4,1,128,1,bfloat16,fp8,0,0.017548799514770508
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,64,16,16,128,1,bfloat16,bfloat16,0,0.012382400035858155
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,32,8,128,1,bfloat16,bfloat16,0,3.028438377380371
