framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,1,128,1,fp8,fp8,0,29.998184204101562
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,1,128,1,bfloat16,fp8,0,30.181231689453124
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,2,128,1,fp8,fp8,0,30.252801513671876
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,2,128,1,bfloat16,fp8,0,30.280599975585936
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,4,128,1,bfloat16,fp8,0,30.256558227539063
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,1,128,1,bfloat16,bfloat16,0,41.70321044921875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,4,128,1,fp8,fp8,0,30.412371826171874
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,8,128,1,bfloat16,fp8,0,30.296469116210936
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,8,128,1,fp8,fp8,0,30.683709716796876
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,2,128,1,bfloat16,bfloat16,0,42.17449951171875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,96,128,1,bfloat16,fp8,0,15.76776580810547
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,96,128,1,fp8,fp8,0,16.005865478515624
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,4,128,1,bfloat16,bfloat16,0,41.834710693359376
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,1,128,1,bfloat16,bfloat16,0,20.860963439941408
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,1,128,1,bfloat16,fp8,0,15.063404846191407
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,1,128,1,fp8,fp8,0,15.136557006835938
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,2,128,1,bfloat16,fp8,0,15.448548889160156
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,2,128,1,bfloat16,bfloat16,0,21.48069610595703
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,2,128,1,fp8,fp8,0,15.277629089355468
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,16384,96,8,128,1,bfloat16,bfloat16,0,42.16551513671875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,4,128,1,bfloat16,bfloat16,0,21.001515197753907
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,4,128,1,bfloat16,fp8,0,15.389039611816406
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,8,128,1,bfloat16,bfloat16,0,21.388546752929688
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,4,128,1,fp8,fp8,0,15.018258666992187
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,8,128,1,bfloat16,fp8,0,15.394833374023438
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,96,128,1,bfloat16,fp8,0,8.039425659179688
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,8,128,1,fp8,fp8,0,15.188534545898438
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,96,128,1,fp8,fp8,0,8.124515533447266
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,1,128,1,bfloat16,bfloat16,0,10.259425354003906
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,1,128,1,bfloat16,fp8,0,7.670990753173828
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,1,128,1,fp8,fp8,0,7.659751892089844
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,2,128,1,bfloat16,bfloat16,0,10.585755157470704
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,2,128,1,bfloat16,fp8,0,7.65487060546875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,2,128,1,fp8,fp8,0,7.670838165283203
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,4,128,1,bfloat16,bfloat16,0,10.463980865478515
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,4,128,1,bfloat16,fp8,0,7.6248046875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,4,128,1,fp8,fp8,0,7.723480224609375
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,8,128,1,bfloat16,bfloat16,0,10.519862365722656
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,96,128,1,bfloat16,bfloat16,0,10.333083343505859
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,8,128,1,bfloat16,fp8,0,7.7431182861328125
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,96,128,1,bfloat16,bfloat16,0,5.278696060180664
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,96,128,1,bfloat16,fp8,0,4.07420654296875
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,2,16384,96,8,128,1,fp8,fp8,0,7.7080078125
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,16384,96,96,128,1,bfloat16,bfloat16,0,21.23548278808594
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,96,128,1,fp8,fp8,0,4.029246520996094
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,1,128,1,bfloat16,fp8,0,3.8643024444580076
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,1,128,1,bfloat16,bfloat16,0,5.074155044555664
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,1,128,1,fp8,fp8,0,3.974903869628906
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,2,128,1,bfloat16,fp8,0,3.850475311279297
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,2,128,1,bfloat16,bfloat16,0,4.678055953979492
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,2,128,1,fp8,fp8,0,3.9066593170166017
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,4,128,1,bfloat16,fp8,0,3.8405071258544923
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,4,128,1,fp8,fp8,0,3.9218624114990233
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,4,128,1,bfloat16,bfloat16,0,4.8276527404785154
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,8,128,1,bfloat16,bfloat16,0,5.001716613769531
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,8,128,1,bfloat16,fp8,0,3.8704639434814454
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,1,16384,96,8,128,1,fp8,fp8,0,3.862868881225586
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,1,128,1,bfloat16,fp8,0,17.813319396972656
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,1,128,1,fp8,fp8,0,17.98717346191406
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,1,128,1,bfloat16,bfloat16,0,24.003099060058595
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,2,128,1,bfloat16,bfloat16,0,24.518121337890626
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,2,128,1,bfloat16,fp8,0,17.94977722167969
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,2,128,1,fp8,fp8,0,17.928251647949217
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,4,128,1,bfloat16,fp8,0,17.50673828125
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,4,128,1,bfloat16,bfloat16,0,23.618260192871094
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,4,128,1,fp8,fp8,0,17.882833862304686
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,8,128,1,bfloat16,bfloat16,0,24.615969848632812
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,8,128,1,bfloat16,fp8,0,17.864305114746095
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,8,12288,96,8,128,1,fp8,fp8,0,17.599095153808594
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,12288,96,96,128,1,bfloat16,bfloat16,0,13.010707092285156
SGLang,0.5.10,NVIDIA GB200,context_attention,trtllm_mha,4,12288,96,96,128,1,bfloat16,fp8,0,9.4077392578125
