framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,128,0.007014399766921997,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,128,0.04408063888549805,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,256,0.007416639924049377,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,256,0.04507296085357666,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,512,0.0074096000194549564,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,512,0.04107200145721436,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,1024,0.00741536021232605,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,1024,0.04281919956207275,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,2048,0.007177919745445252,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,2048,0.04205344200134277,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,4096,0.00741919994354248,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,4096,0.041864638328552244,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,8192,0.007417280077934266,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,8192,0.040816001892089844,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,16384,0.00725823998451233,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,16384,0.04090112209320068,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,32768,0.007423679828643799,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,32768,0.03993983983993531,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,65536,0.007609919905662536,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,65536,0.04012320041656494,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,131072,0.007814080119132996,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,131072,0.04111839771270752,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,262144,0.009881600141525268,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,262144,0.04033408164978027,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,524288,0.013506239652633667,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,524288,0.04025055885314942,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,1048576,0.020185279846191406,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,1048576,0.04038400173187256,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,2097152,0.0338755202293396,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,2097152,0.044875202178955076,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,4194304,0.06234303951263428,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,4194304,0.0724726390838623,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,8388608,0.05536159992218017,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,8388608,0.10223999977111817,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,16777216,0.08219615936279297,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,16777216,0.11129887580871582,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,33554432,0.14985119819641113,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,33554432,0.17345472335815432,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,67108864,0.2776032066345215,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,67108864,0.3202454376220703,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,134217728,0.5181251144409179,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,134217728,0.5986547088623047,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,268435456,0.9878141021728515,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,268435456,1.1487773132324217,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,536870912,1.8729685974121093,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,536870912,2.1903733825683593,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,128,0.007291200160980224,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,128,0.06099232196807861,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,256,0.007434239983558655,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,256,0.05862048149108887,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,512,0.007471680045127868,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,512,0.05288479804992676,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,1024,0.007536000013351441,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,1024,0.05272960186004638,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,2048,0.00744159996509552,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,2048,0.049731202125549316,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,4096,0.0076611202955245965,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,4096,0.05095967769622802,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,8192,0.007747200131416321,sglang_graph
