framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,1,0.04540480077266693
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,3,0.04542720019817352
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,7,0.04531520009040833
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,1,0.037115201354026794
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,15,0.037238401174545285
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,31,0.04929440021514893
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,15,0.04537439942359924
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,31,0.03720319867134094
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,63,0.04956960082054138
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,63,0.03723999857902527
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,127,0.03916000127792359
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,255,0.0850655972957611
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,255,0.047512000799179076
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,511,0.15456639528274535
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,511,0.0834384024143219
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,1023,0.293831992149353
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,1023,0.15620319843292235
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,3,0.03717919886112213
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,127,0.05376960039138794
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,bfloat16,2047,0.5726463794708252
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,2047,0.3017215967178345
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,1,0.010513599961996078
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,3,0.010460799932479859
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,7,0.010515200346708298
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,1,0.008660800009965896
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,64,1,64,64,128,1,bfloat16,fp8,7,0.03721440136432648
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,15,0.010545600205659866
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,7,0.010335999727249145
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,31,0.010500799864530563
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,31,0.010063999891281128
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,63,0.010384000092744827
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,127,0.010555200278759003
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,127,0.01027199998497963
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,255,0.010550399869680404
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,255,0.00849440023303032
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,511,0.010611200332641601
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,511,0.008508799970149994
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,1023,0.01241919994354248
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,1023,0.010420800000429154
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,2047,0.01451680064201355
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,2047,0.012345600128173827
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,1,0.010540799796581268
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,1,0.008408000320196151
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,3,0.01043360009789467
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,bfloat16,63,0.010592000186443329
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,3,0.008504000306129456
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,7,0.01067200005054474
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,7,0.0083856001496315
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,15,0.010593599826097488
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,15,0.008449599891901017
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,31,0.010662399977445603
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,31,0.008574400097131729
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,63,0.010375999659299851
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,63,0.008377599716186523
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,127,0.010662399977445603
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,127,0.008427199721336365
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,255,0.010523200035095215
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,255,0.008499199897050858
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,511,0.012483199685811996
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,1023,0.014368000626564025
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,1023,0.010518400371074677
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,bfloat16,2047,0.0312032014131546
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,2047,0.012627199292182922
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,1,0.028806400299072266
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,1,0.022776000201702118
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,3,0.008416000008583068
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,3,0.02279040068387985
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,7,0.02879680097103119
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,1,1,64,64,128,1,bfloat16,fp8,15,0.008511999994516373
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,7,0.022761599719524385
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,15,0.026927998661994933
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,15,0.022756800055503845
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,31,0.028438401222229005
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,31,0.022806400060653688
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,63,0.028910401463508605
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,63,0.0229312002658844
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,127,0.03299039900302887
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,127,0.022811199724674224
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,2,1,64,64,128,1,bfloat16,fp8,511,0.010377600044012069
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,255,0.04822239875793457
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,255,0.027564799785614012
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,511,0.04734880030155182
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,1023,0.1538912057876587
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,2047,0.293286395072937
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,bfloat16,3,0.02884800136089325
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,4,1,64,64,128,1,bfloat16,bfloat16,1,0.01249919980764389
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,4,1,64,64,128,1,bfloat16,fp8,1,0.0103472001850605
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,32,1,64,64,128,1,bfloat16,fp8,2047,0.15575840473175048
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,4,1,64,64,128,1,bfloat16,bfloat16,3,0.012436799705028534
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,4,1,64,64,128,1,bfloat16,bfloat16,7,0.012476799637079239
SGLang,0.5.10,NVIDIA GB200,generation_attention,trtllm_mha,4,1,64,64,128,1,bfloat16,fp8,7,0.01034879982471466
