framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,uniform,0.14524799585342407
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,uniform,0.19922879934310914
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,8,7168,2048,8,256,1,2,uniform,0.30293760299682615
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,16,7168,2048,8,256,1,2,uniform,0.5156064033508301
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,32,7168,2048,8,256,1,2,uniform,0.9284671783447266
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,64,7168,2048,8,256,1,2,uniform,0.9280320167541504
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,128,7168,2048,8,256,1,2,uniform,0.9280896186828613
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,256,7168,2048,8,256,1,2,uniform,0.928553581237793
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.6,0.1443737602233887
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_0.8,0.14446399688720704
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.01,0.14418432235717774
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.02,0.14407999992370607
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,2,7168,2048,8,256,1,2,power_law_1.2,0.14731776237487793
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.6,0.1978835105895996
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_0.8,0.1998944091796875
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.01,0.20452991485595703
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.02,0.1983135986328125
SGLang,0.5.10,NVIDIA GB200,moe_generation,deepepmoe,fp8_block,4,7168,2048,8,256,1,2,power_law_1.2,0.20666816711425778
