framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,2048,4096,16384,0.10443288750118679
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,1025,65536,768,0.06582399871614245
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,112,6144,10240,0.024069334069887798
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,10,10240,10240,0.028471999698215063
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,4096,128,2560,0.015465777781274585
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,97,6144,2560,0.01850666602452596
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,32768,2048,512,0.06660266717274983
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,1024,7168,8192,0.060065779421064586
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,112,1024,51200,0.02462133268515269
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,4,10240,1536,0.006002666635645761
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,3584,4096,65536,0.46960798899332684
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,3,1536,16384,0.020337777005301583
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,4097,3072,65536,0.4709706836276584
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,6,4096,512,0.005294222384691238
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,2,1024,1024,0.005664000080691443
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,4096,16384,10240,0.4259173340267605
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,14,512,512,0.01183377785815133
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,513,51200,512,0.031967110104031034
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,15,4096,2048,0.0053342220683892565
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,3073,3584,1536,0.03619911273320516
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,1025,5120,1536,0.015239111251301236
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,1536,3584,4096,0.039044443104002215
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,6,12288,1536,0.006272888845867581
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,2816,7168,32,0.01551644504070282
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,2304,128,3072,0.01536711057027181
