framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,128,0.0068800002336502075
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,64,0.006246399879455566
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,32,0.00522879995405674
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,128,0.010608000308275222
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,64,0.009008000046014786
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,16,0.004499199986457825
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,8,0.0047231998294591905
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,16,0.008582399785518646
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,4,0.005382400006055832
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,4,0.008591999858617782
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,2,0.005296000093221664
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,2,0.008588799834251403
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,1,1,0.005081599950790406
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,1,0.010335999727249145
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,128,0.008044800162315369
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,1,8,0.008668799698352814
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,128,0.010931199789047242
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,32,0.0053888000547885895
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,32,0.008912000060081481
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,16,0.005011200159788132
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,16,0.008627200126647949
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,8,0.005452800169587135
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,8,0.008931200206279754
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,4,0.005344000086188317
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,4,0.008825600147247314
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,2,0.00517439991235733
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,2,0.008364800363779068
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,1,0.009225600212812424
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,2,1,0.00867839977145195
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,4,128,0.007327999919652939
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,fp8,4,128,0.010739199817180634
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,4,64,0.0062304001301527025
SGLang,0.5.10,NVIDIA GB300,mla_gen_pre,default,bfloat16,2,64,0.004745600000023842
