framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,uniform,0.8088685699871608
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,4096,7168,2048,8,256,1,256,uniform,0.6143405778067452
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,2048,7168,2048,8,256,1,128,uniform,0.5432228531156268
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,uniform,0.5415862798690796
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,2048,7168,2048,8,256,1,128,power_law_0.6,0.5205705123288291
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_0.6,0.5052022857325418
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,4096,7168,2048,8,256,1,256,power_law_0.6,0.527605938911438
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_0.8,0.5152758887835911
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_1.01,0.5150445640087128
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,power_law_0.6,0.5054875458989825
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,power_law_0.8,0.517982166154044
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,power_law_1.01,0.5194331433091844
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,power_law_1.02,0.5255424005644662
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,256,7168,2048,8,256,1,16,power_law_1.2,0.5106048004967826
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,2048,7168,2048,8,256,1,128,power_law_0.8,0.531391088451658
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_1.02,0.516764338527407
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,uniform,0.5618880050522941
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,power_law_0.6,0.5491483415876116
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,power_law_0.8,0.5408685701234001
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,power_law_1.01,0.5013604555811201
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,power_law_1.02,0.5078226293836321
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,16,power_law_1.2,0.51117165854999
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,4096,7168,2048,8,256,1,256,power_law_0.8,0.5259693716253553
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,512,7168,2048,8,256,1,32,power_law_1.2,0.5093732552868979
SGLang,0.5.10,NVIDIA GB300,moe_context,deepepmoe,fp8_block,1024,7168,2048,8,256,1,16,uniform,0.5515931418963841
