framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,128,16,48,4,128,1,bfloat16,fp8,0,0.05486080050468445
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,64,1536,32,4,128,1,bfloat16,fp8,0,2.3513168334960937
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,128,256,4,4,128,1,bfloat16,fp8,0,0.08773279786109925
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,64,16,16,128,1,bfloat16,bfloat16,0,0.012484800070524216
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,64,32,64,4,128,1,bfloat16,bfloat16,0,0.060433602333068846
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,1536,8,4,128,1,bfloat16,bfloat16,0,0.0337583988904953
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,32,16,1,128,1,bfloat16,fp8,0,0.012142399698495865
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,1536,24,1,128,1,bfloat16,fp8,0,0.03730559945106506
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,1,64,1,128,1,fp8,fp8,0,0.009995199739933014
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,2048,48,8,128,1,fp8,fp8,0,1.462326431274414
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,64,32,2,1,128,1,bfloat16,fp8,0,0.011817599833011627
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,3072,8,2,128,1,bfloat16,bfloat16,0,0.04890080094337464
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,1,96,8,128,1,bfloat16,fp8,0,0.009860800206661224
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,512,1,1,128,1,bfloat16,fp8,0,0.017177599668502807
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16,48,1,128,1,fp8,fp8,0,0.011950399726629257
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,2048,8,4,128,1,bfloat16,bfloat16,0,0.31665279865264895
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,256,4,1,128,1,bfloat16,fp8,0,0.015270400047302245
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,256,96,2,128,1,bfloat16,bfloat16,0,0.1538256049156189
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,8192,16,2,128,1,bfloat16,bfloat16,0,1.7753616333007813
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,32,8,128,1,bfloat16,bfloat16,0,7.3098701477050785
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,128,8,8,128,1,bfloat16,bfloat16,0,0.013143999874591828
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,32,48,2,128,1,bfloat16,fp8,0,0.0180976003408432
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,2048,8,1,128,1,bfloat16,bfloat16,0,0.28019840717315675
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,32,1,1,128,1,bfloat16,fp8,0,0.009385599941015243
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,256,12,1,128,1,bfloat16,bfloat16,0,0.027035200595855714
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,256,128,24,2,128,1,bfloat16,bfloat16,0,0.2947103977203369
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,128,256,4,2,128,1,fp8,fp8,0,0.07274720072746277
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,16,16,64,1,128,1,bfloat16,fp8,0,0.013099199533462525
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,1024,48,4,128,1,bfloat16,fp8,0,0.035713601112365725
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,6144,40,8,128,1,bfloat16,fp8,0,2.2014495849609377
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,128,256,12,1,128,1,bfloat16,bfloat16,0,0.16104960441589355
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,512,2,1,128,1,bfloat16,bfloat16,0,0.016748799383640288
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,1,16,2,128,1,bfloat16,bfloat16,0,0.009796799719333648
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,12288,8,2,128,1,bfloat16,fp8,0,0.8293919563293457
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,256,128,32,2,128,1,bfloat16,fp8,0,0.39624478816986086
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,64,16,2,1,128,1,bfloat16,bfloat16,0,0.01156800016760826
