framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,0,0.8105
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,1,1,0,1.2712
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1,1,0,1.3078
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,4,1,0,0.8285
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,8,1,0,0.8080
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,16,1,0,1.0177
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,32,1,0,0.8061
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,64,1,0,0.8022
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4,1,0,0.5374
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8,1,0,0.5432
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4,1,0,0.8558
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16,1,0,0.5529
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8,1,0,0.8379
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,32,1,0,0.5394
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16,1,0,0.8278
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,64,1,0,0.5503
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,32,1,0,0.8199
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,128,1,0,0.5519
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,64,1,0,0.8285
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,256,1,0,0.5485
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,512,1,0,0.6077
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1024,1,0,0.7907
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,2048,1,0,1.2557
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,128,1,0,0.8057
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,128,1,0,0.8320
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,256,1,0,0.8227
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,256,1,0,0.7961
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,512,1,0,0.8571
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,512,1,0,0.8382
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,4096,1,0,22.0322
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,1024,1,0,1.0019
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,1024,1,0,0.8644
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,8192,1,0,9.6600
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,2048,1,0,1.4593
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,64,1,2048,1,0,1.0611
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,1,16384,1,0,32.7507
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,1,1,0,0.5499
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,4,1,0,0.6091
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,8,1,0,0.5341
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,16,1,0,0.5793
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,32,1,0,0.5634
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,64,1,0,0.6609
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,128,1,0,0.5510
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,256,1,0,0.6066
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,512,1,0,0.7724
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,1024,1,0,1.1762
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,2048,1,0,2.3305
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,4096,1,0,10.0505
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,8192,1,0,18.5125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,2,16384,1,0,42.5415
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,1,1,0,0.5895
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,4,1,0,0.5131
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,8,1,0,0.5132
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,16,1,0,0.5129
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,32,1,0,0.5199
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,64,1,0,0.5235
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,128,1,0,0.5987
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,256,1,0,0.8280
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,512,1,0,1.1330
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,1024,1,0,2.1540
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,2048,1,0,4.6777
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,4096,1,0,23.9341
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,8192,1,0,45.3596
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1,4096,1,0,12.4102
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,4,16384,1,0,86.3810
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,8,1,1,0,0.5230
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,8,4,1,0,0.5199
SGLang,0.5.10,NVIDIA H100 80GB HBM3,dsa_context_module,dsa_nsa,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,64,8,8,1,0,0.5219
