framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,fp8,fp8,0,72.11390380859375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,bfloat16,fp8,0,72.27080078125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,bfloat16,bfloat16,0,92.25977172851563
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,bfloat16,fp8,0,73.12891235351563
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,fp8,fp8,0,73.39358520507812
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,bfloat16,fp8,0,71.84876708984375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,bfloat16,bfloat16,0,91.27709350585937
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,bfloat16,bfloat16,0,91.38721923828125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,fp8,fp8,0,71.76790161132813
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,8,128,1,bfloat16,fp8,0,73.8788330078125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,bfloat16,bfloat16,0,45.6990234375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,bfloat16,fp8,0,35.81917114257813
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,8,128,1,fp8,fp8,0,73.5974853515625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,fp8,fp8,0,36.47488098144531
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,bfloat16,fp8,0,36.044610595703126
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,bfloat16,bfloat16,0,45.5801025390625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,fp8,fp8,0,36.435174560546876
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,bfloat16,bfloat16,0,45.974386596679686
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,bfloat16,fp8,0,36.19935913085938
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,fp8,fp8,0,36.25393981933594
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,bfloat16,fp8,0,36.899664306640624
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,fp8,fp8,0,36.43955688476562
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,bfloat16,bfloat16,0,46.73377685546875
SGLang,0.5.10,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,96,128,1,bfloat16,fp8,0,18.285304260253906
