framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,1,1,0,0.012449599802494049
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,1,4,0,0.01186719983816147
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,1,8,0,0.011579199880361556
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,1,16,0,0.011591999977827071
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,1,32,0,0.011593600362539291
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,1,64,0,0.01154559999704361
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,1,1,0,0.01809920072555542
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,1,2,0,0.017742399871349335
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,1,4,0,0.0174687996506691
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,1,8,0,0.017312000691890716
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,1,2,0,0.0121568001806736
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,1,16,0,0.01730719953775406
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,1,64,0,0.017308799922466277
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,1,32,0,0.017452800273895265
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,16,2,0,0.013451200723648072
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,16,4,0,0.013391999900341034
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,16,16,0,0.012998400628566742
