framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,49,512,12288,0.009845332966910468
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,10240,10240,0.0925368865331014
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,4,3072,256,0.002967111145456632
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,81,3072,64,0.002971555623743269
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,65,1024,6144,0.013597333596812354
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,8192,1024,2560,0.05678400066163805
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3,4096,6144,0.02245866590076023
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,80,32,2560,0.007350222104125553
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,65,51200,3072,0.11066310935550266
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,96,5120,7168,0.02943999899758233
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,13,64,8192,0.01146133326821857
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2560,32,1024,0.011536888778209686
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4097,65536,128,0.24942488140530059
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,10,12288,16384,0.14434044890933567
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,12,7168,6144,0.0359555549091763
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,17,10240,51200,0.3743715551164415
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,33,2560,2560,0.008088000118732452
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3,256,16384,0.019612444771660697
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,49,6144,128,0.00563733321097162
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,65,256,3072,0.007723555796676212
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,2049,512,32,0.003617777592606015
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3328,1536,2560,0.03665333324008518
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3841,1024,4096,0.05740977658165825
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,4352,2048,16384,0.3742204507191976
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,80,256,5120,0.010026666853162978
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,14,1024,5120,0.01033688916100396
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,192,768,128,0.0029057777590221832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,16384,2048,51200,4.481817881266276
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,14,2048,16384,0.027699554959932964
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,9,2048,8192,0.01941333380010393
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,225,512,3072,0.007710222568776872
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,81,8192,1024,0.008976000050703684
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,1280,2048,2048,0.019274666905403137
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,48,2048,4096,0.010678222609890832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,1025,51200,512,0.06871022118462457
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,6,1024,16384,0.016900445024172466
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,1281,1536,1024,0.013471110827393003
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2561,7168,128,0.025536000728607178
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,225,6144,16384,0.10451644659042358
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,12,51200,5120,0.09553511275185479
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,512,6144,768,0.010136889086829292
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3329,32,4096,0.014271999398867289
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,6,8192,64,0.002936888900068071
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3328,128,512,0.004027555386225383
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,2049,1024,5120,0.03609422180387709
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3072,2048,64,0.006443555570311016
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,1024,32,6144,0.027504889501465693
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,1280,5120,3072,0.054126222928365074
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2305,512,64,0.006894222150246303
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,8192,2560,51200,2.6637119717068143
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,3073,51200,10240,2.5963297949896917
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,1537,128,2048,0.0177875558535258
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,513,32,5120,0.02162577708562215
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,1280,6144,32,0.013012444807423485
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,128,5120,3584,0.01575999955336253
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,256,256,65536,0.11633600129021539
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,769,256,6144,0.030696001317765977
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3328,1536,2560,0.03858044412400987
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,65,51200,7168,0.24949955940246582
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,224,2048,1024,0.005136000199450387
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,193,3584,7168,0.024197333388858374
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,10,512,6144,0.009470221896966299
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,64,256,12288,0.008606221940782335
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,12,51200,2560,0.052496890226999916
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,49,256,7168,0.006793777975771163
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,161,51200,4096,0.1667271057764689
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,10,5120,10240,0.03063911199569702
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,257,5120,7168,0.03928088810708787
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4,64,4096,0.0081395556529363
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3328,16384,768,0.12229955196380615
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,6,4096,32,0.0027137777457634607
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2305,1536,7168,0.07815821965535481
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,512,2560,3072,0.01586844523747762
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3,65536,128,0.014261333478821648
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,512,8192,0.030064000023735896
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,160,768,3072,0.007887110941939885
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,769,3584,51200,0.4674764209323459
