framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1,0.086627197265625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,1,0.08463039994239807
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,3,0.08657280206680298
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,3,0.08466240167617797
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,7,0.08680160045623779
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,7,0.0846127986907959
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,15,0.08715360164642334
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,31,0.09560480117797851
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,63,0.10081919431686401
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,127,0.11782879829406738
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,511,0.36297919750213625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1023,0.7056752204895019
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,15,0.08469759821891784
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,1023,0.41599040031433104
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,31,0.08501759767532349
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,63,0.09602559804916382
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,1,0.010550399869680404
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,255,0.20439040660858154
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,3,0.011224000155925751
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,2047,1.3895039558410645
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,7,0.011220800131559372
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,2047,0.7955952167510987
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,3,0.010518400371074677
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,15,0.011214400082826615
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,7,0.010844799876213073
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,15,0.01064319983124733
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,255,0.16403839588165284
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,63,0.011558400094509124
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,127,0.11924480199813843
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,127,0.01143999993801117
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,255,0.01316159963607788
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,127,0.011828800290822982
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,511,0.015068799257278442
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,1023,0.01982080042362213
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,511,0.014595200121402741
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,255,0.01249760016798973
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,1023,0.0169855996966362
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,2047,0.037775999307632445
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,1,0.011723200231790543
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,3,0.011767999827861786
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,1,0.010831999778747558
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,2047,0.02160000056028366
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,3,0.010896000266075134
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,7,0.011507199704647064
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,7,0.01085439994931221
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,15,0.01156959980726242
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,15,0.010857599973678588
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,511,0.2631392002105713
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,31,0.010846400260925293
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,63,0.011798399686813354
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,127,0.011921600252389909
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,63,0.010849600285291671
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,255,0.013548800349235534
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,255,0.012531200051307678
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,511,0.016040000319480895
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,511,0.016046400368213653
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,1023,0.037412801384925844
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,1023,0.020380799472332
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,fp8,2047,0.035743999481201175
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,1,0.011300799995660782
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,1,0.04711360037326813
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,3,0.048214399814605714
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,3,0.047275200486183167
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,7,0.0483487993478775
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,7,0.04733920097351074
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,15,0.048347198963165285
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,15,0.047393599152565004
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,31,0.011395200341939925
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,31,0.05154079794883728
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,31,0.047593599557876586
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,63,0.05777919888496399
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,63,0.010628800094127654
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,63,0.04959680140018463
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,127,0.06625599861145019
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,127,0.06481919884681701
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,255,0.10856959819793702
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,255,0.0877664029598236
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,511,0.18960800170898437
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,511,0.13814239501953124
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,bfloat16,1023,0.3611696004867554
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,32,1,64,64,128,1,bfloat16,fp8,1023,0.2173072099685669
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,bfloat16,1,0.014017599821090698
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,31,0.01154559999704361
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,fp8,1,0.013238400220870972
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,2,1,64,64,128,1,bfloat16,bfloat16,127,0.011923199892044068
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,bfloat16,3,0.01404000073671341
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,fp8,3,0.013246400654315949
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,bfloat16,7,0.013976000249385834
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,fp8,7,0.013281600177288055
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,bfloat16,15,0.014076800644397735
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,fp8,15,0.01326719969511032
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,bfloat16,31,0.01408800035715103
SGLang,0.5.10,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,4,1,64,64,128,1,bfloat16,fp8,31,0.013070400059223174
