framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,1,0.004479999840259552
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,1,0.004377600178122521
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,32,0.005558399856090546
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,16,0.00634239986538887
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,32,0.007472000271081925
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,1,0.004371200129389763
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,4,0.004185599833726883
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,8,0.012614400684833526
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4096,2,0.0071103997528553006
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1024,32,0.022086399793624877
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,128,0.02160319983959198
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,4,0.00719040036201477
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,16,0.006319999694824219
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,3072,64,0.10143359899520873
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,512,128,0.13233599662780762
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,4,0.010063999891281128
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,2,0.007651200145483017
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,8,32,0.00830719992518425
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,32,0.004416000097990036
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,16,0.0049056001007556915
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,64,0.0049472000449895855
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4096,1,0.014601600170135499
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,6144,32,0.10042239427566528
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,512,64,0.07059199810028076
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,2,0.008921600133180618
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,32,0.008502399921417237
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,128,0.07174400091171265
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,8,16,0.008294399827718735
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,64,0.004985599964857102
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4096,64,0.1323807954788208
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,768,8,0.006313599646091461
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,8,4,0.007747200131416321
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,64,0.05516160130500793
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,8192,64,0.25582399368286135
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1024,128,0.25806078910827634
