framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,320,6144,2560,8,160,16,16,balanced,0.1159705638885498
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1536,7168,2048,8,384,2,2,power_law_1.2,2.025038146972656
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,16,7168,2048,8,384,2,1,power_law_1.01,1.785461120605469
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,256,7168,2048,8,256,4,64,power_law_1.01,0.08125056266784668
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1,3072,1536,8,256,1,1,power_law_1.01,0.10036800384521485
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,2048,3072,1536,8,256,4,4,power_law_1.2,0.38598655700683593
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,256,7168,2048,8,384,1,32,power_law_1.01,0.6000537490844726
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,768,2688,1856,6,128,1,4,balanced,0.6146995162963866
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,160,4096,14336,2,8,16,4,power_law_1.01,0.04084479808807373
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,192,3072,1536,8,256,1,4,balanced,0.9062361907958983
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,160,2688,1856,6,128,8,2,power_law_1.01,0.15474816322326662
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,768,7168,2048,8,256,1,8,power_law_1.01,2.69227783203125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,3072,7168,2048,8,384,16,4,power_law_1.2,0.9050867462158203
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,80,7168,2048,8,384,32,4,power_law_1.2,0.12219136238098145
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,80,6144,2560,8,160,2,32,power_law_1.2,0.08693375587463378
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,512,3072,1536,8,256,2,64,balanced,0.0453875207901001
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,12288,7168,2048,8,384,4,32,balanced,1.1813529968261718
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,96,4096,1024,10,512,2,8,balanced,0.19515136718749998
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,3072,6144,2560,8,160,2,2,balanced,6.224312133789063
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,256,4096,2688,22,512,2,32,balanced,0.2578483200073242
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,96,4096,1536,8,128,2,128,balanced,0.04010496139526367
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,4,4096,2688,22,512,1,2,balanced,0.6376063919067383
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,8,7168,2048,8,384,4,64,power_law_1.2,0.07468927860260009
SGLang,0.5.10,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,6144,4096,2688,22,512,2,4,power_law_1.2,5.728341674804687
