framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,4,1024,8,4,128,1,bfloat16,bfloat16,0,0.08741599917411805
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,2,1536,96,4,128,1,bfloat16,bfloat16,0,0.587827205657959
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,128,512,2,2,128,1,bfloat16,bfloat16,0,0.4244063854217529
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,2,2048,16,16,128,1,bfloat16,bfloat16,0,0.231331205368042
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,32,2048,12,2,128,1,bfloat16,bfloat16,0,2.038372802734375
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,4,1,24,2,128,1,bfloat16,bfloat16,0,0.011070399731397628
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,64,16,2,2,128,1,bfloat16,bfloat16,0,0.01271039992570877
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,256,32,12,4,128,1,bfloat16,bfloat16,0,0.06670719981193543
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,4,32,32,2,128,1,bfloat16,bfloat16,0,0.012099199742078782
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,8,1,32,32,128,1,bfloat16,bfloat16,0,0.017496000230312347
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,128,1024,48,4,128,1,bfloat16,bfloat16,0,10.320423889160157
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,64,512,32,8,128,1,bfloat16,bfloat16,0,1.4639856338500976
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,1,10240,24,8,128,1,bfloat16,bfloat16,0,2.804484748840332
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,1,1024,24,8,128,1,bfloat16,bfloat16,0,0.05742239952087402
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,256,512,96,2,128,1,bfloat16,bfloat16,0,12.590971374511719
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,8,3072,96,4,128,1,bfloat16,bfloat16,0,9.395081329345704
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,128,256,8,2,128,1,bfloat16,bfloat16,0,0.3359855890274048
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,4,8192,48,8,128,1,bfloat16,bfloat16,0,16.104861450195312
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,1,1,32,32,128,1,bfloat16,bfloat16,0,0.015404799580574035
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,256,16,32,2,128,1,bfloat16,bfloat16,0,0.07381439805030823
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,4,16,24,2,128,1,bfloat16,bfloat16,0,0.013486400246620178
SGLang,0.5.10,NVIDIA L40S,context_attention,flash_attention,1,8192,32,4,128,1,bfloat16,bfloat16,0,2.292643165588379
