framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1025,256,12288,0.13236978318956164
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,113,768,16384,0.048377778795030385
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,13,51200,2048,0.2980159918467204
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1281,1536,5120,0.08333688974380493
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,112,256,256,0.004453333301676644
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1793,6144,768,0.05321333474583096
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,11,1536,1024,0.004379555583000183
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,160,4096,128,0.005158222383923001
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,7,10240,65536,1.8444480895996094
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,49,65536,5120,1.0320808622572157
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3329,16384,32,0.203076442082723
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1792,3072,32,0.008273777862389883
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,512,6144,32,0.00793333351612091
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,12,8192,256,0.003718222181002299
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,2,768,128,0.0033004445334275565
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1280,32,2048,0.006607999818192587
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3329,10240,768,0.18904533651140001
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1,256,256,0.0020799999021821553
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,11,8192,1024,0.015171556009186639
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,512,3072,7168,0.10194489028718735
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1536,32,2048,0.02015911042690277
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,2304,2048,2048,0.11124889055887859
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,4352,32,256,0.007376000285148621
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3329,256,2048,0.043959998422198825
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,65,10240,51200,1.6119964387681749
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,3073,3072,2560,0.2560533417595757
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1280,2560,65536,1.6188542048136394
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,2561,1536,768,0.02955289019478692
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,48,4096,128,0.0040942223535643685
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,12,8192,6144,0.08306844366921319
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,15,7168,7168,0.16248888439602321
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,4353,3584,32,0.018782221608691745
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3840,768,16384,0.7272222306993273
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3585,7168,7168,0.9924062093098959
