framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,4,1,16,1,128,1,bfloat16,bfloat16,1,0.010923200100660325
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,1,1,8,8,128,1,bfloat16,bfloat16,1023,0.0205375999212265
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,1024,1,64,2,128,1,bfloat16,bfloat16,15,0.10070559978485108
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,16,1,8,1,128,1,bfloat16,bfloat16,255,0.01510079950094223
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,32,1,8,8,128,1,bfloat16,bfloat16,8191,1.5335087776184082
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,256,1,96,1,128,1,bfloat16,bfloat16,63,0.02232639938592911
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,1,1,96,8,128,1,bfloat16,bfloat16,31,0.010943999886512757
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,64,1,2,2,128,1,bfloat16,bfloat16,127,0.012804800271987915
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,32,1,4,4,128,1,bfloat16,bfloat16,3,0.012054400146007537
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,2,1,8,2,128,1,bfloat16,bfloat16,7,0.010886400192975997
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,32,1,2,1,128,1,bfloat16,bfloat16,1,0.011246400326490403
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,4,1,2,2,128,1,bfloat16,bfloat16,16383,0.05581759810447693
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,1,1,128,8,128,1,bfloat16,bfloat16,31,0.010887999832630158
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,64,1,64,8,128,1,bfloat16,bfloat16,7,0.029815998673439027
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,4,1,16,8,128,1,bfloat16,bfloat16,4095,0.05347679853439331
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,2,1,8,4,128,1,bfloat16,bfloat16,127,0.011206399649381638
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,8,1,64,8,128,1,bfloat16,bfloat16,1,0.010996799916028976
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,16,1,1,1,128,1,bfloat16,bfloat16,4095,0.034745600819587705
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,256,1,16,2,128,1,bfloat16,bfloat16,255,0.04971520006656647
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,64,1,16,16,128,1,bfloat16,bfloat16,1,0.053281599283218385
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,32,1,4,1,128,1,bfloat16,bfloat16,15,0.011308799684047698
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,128,1,12,12,128,1,bfloat16,bfloat16,7,0.07216960191726685
SGLang,0.5.10,NVIDIA L40S,generation_attention,flash_attention,16,1,2,2,128,1,bfloat16,bfloat16,63,0.011060799658298492
