framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,32,1,0.006892800331115723
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,384,16,0.009167999774217606
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,320,32,0.01292479932308197
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,160,1,0.006566400080919266
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,64,4,0.006393600255250931
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,96,1,0.006790400296449661
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,1024,32,0.031011199951171874
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,128,32,0.010307200253009796
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,192,128,0.030063998699188233
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,4,16,0.0066431999206542965
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,3072,64,0.39784319400787355
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,4096,2,0.009958399832248688
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,3072,4,0.02971520125865936
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,48,64,0.01311040073633194
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,1536,128,0.5692192077636719
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,512,1,0.006908799707889557
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,128,8,0.008003199845552445
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,384,4,0.009324800223112106
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,16,2,0.006508799642324448
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,384,8,0.012383999675512314
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,8,32,0.00713919997215271
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,192,16,0.008064000308513642
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,1,64,0.007926400005817413
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,4096,1,0.013577599823474885
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,6144,32,0.36617920398712156
