framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,96,4096,2688,22,512,16,2,power_law_1.2,1.4705599975585937
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,160,3072,1536,8,256,8,16,power_law_1.2,0.05479680061340332
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,48,7168,2048,8,384,4,4,power_law_1.2,1.5267430114746094
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,16,7168,2048,8,256,2,1,balanced,8.173231201171875
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,192,4096,1024,10,512,2,8,power_law_1.01,1.41357177734375
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,96,6144,2560,8,160,1,8,balanced,4.540861511230469
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,12288,4096,2688,22,512,4,64,power_law_1.2,32.80275634765625
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,8,4096,14336,2,8,8,4,power_law_1.2,0.05137152194976806
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,768,6144,2560,8,160,8,4,balanced,1.61059326171875
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,64,6144,2560,8,160,2,16,balanced,1.0323302459716797
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,1024,6144,2560,8,160,4,32,power_law_1.01,0.8490227508544923
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,4096,6144,2048,8,256,16,8,power_law_1.01,1.9894898986816407
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,16,4096,14336,2,8,8,8,power_law_1.01,0.03726847887039185
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,80,6144,2048,8,256,8,2,power_law_1.2,0.35387905120849605
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,2048,7168,2048,8,384,2,64,power_law_1.2,1.7124543762207032
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,1536,6144,16384,2,8,4,2,balanced,2.3740325927734376
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,2048,4096,1536,8,128,2,16,balanced,0.7710643005371094
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,384,6144,2048,8,256,2,8,balanced,0.9155059051513671
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,48,4096,1536,8,128,1,4,balanced,0.46209278106689455
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,256,3072,1536,8,256,2,128,balanced,0.0678169584274292
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,384,4096,14336,2,8,2,8,power_law_1.2,0.5595404815673828
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,1024,7168,2048,8,256,4,8,power_law_1.01,1.0036185455322264
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,32,7168,2048,8,384,2,4,balanced,4.1220812988281255
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,1,7168,2048,8,384,4,8,balanced,0.032391679286956784
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,8,2048,768,8,128,4,8,power_law_1.2,0.019553279876708983
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,256,7168,2048,8,256,16,16,power_law_1.2,0.16624256134033205
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,256,2048,768,8,128,1,4,balanced,0.7220223999023437
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,512,6144,2560,8,160,2,8,power_law_1.2,1.1140595245361329
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,768,7168,2048,8,256,1,16,power_law_1.01,4.792986755371094
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,8192,4096,1536,8,128,1,32,balanced,4.6875341796875
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,4096,4096,1024,10,512,1,8,power_law_1.2,9.082044067382814
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,192,6144,16384,2,8,1,8,power_law_1.2,1.6410266113281249
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,128,3072,1536,8,256,8,32,balanced,0.05196800231933594
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,64,7168,2048,8,384,2,32,power_law_1.2,0.8985549163818358
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,384,7168,2048,8,256,2,128,power_law_1.2,0.2375040054321289
